Tract,Average,nVoxels
AverageFA,0.393298,117138
GCC,0.657935,1834
BCC,0.565635,3173
SCC,0.702681,2311
FX,0.326021,222
CST-R,0.522134,310
CST-L,0.540818,332
ML-R,0.568597,190
ML-L,0.553345,172
ICP-R,0.461635,254
ICP-L,0.504043,239
SCP-R,0.577376,238
SCP-L,0.584999,236
CP-R,0.607983,572
CP-L,0.600907,528
ALIC-R,0.553759,791
ALIC-L,0.565808,719
PLIC-R,0.611697,892
PLIC-L,0.640796,883
RLIC-R,0.519946,770
RLIC-L,0.572292,726
ACR-R,0.470632,1560
ACR-L,0.48386,1569
SCR-R,0.461149,1416
SCR-L,0.466723,1362
PCR-R,0.458774,760
PCR-L,0.439161,677
PTR-R,0.504907,1009
PTR-L,0.5203,978
SS-R,0.520134,646
SS-L,0.551006,648
EC-R,0.421327,1451
EC-L,0.428547,1445
CGC-R,0.481954,287
CGC-L,0.515215,307
CGH-R,0.517338,261
CGH-L,0.556459,263
FX/ST-R,0.499992,310
FX/ST-L,0.543727,396
SLF-R,0.467683,1770
SLF-L,0.481902,1733
SFO-R,0.43403,98
SFO-L,0.429433,95
IFO-R,0.462243,48
IFO-L,0.469396,40
UNC-R,0.471277,74
UNC-L,0.481687,51
