Tract,Average,nVoxels
AverageFA,0.337586,117133
GCC,0.546229,1834
BCC,0.479111,3173
SCC,0.561427,2311
FX,0.18332,222
CST-R,0.584436,310
CST-L,0.602404,332
ML-R,0.511373,190
ML-L,0.515333,172
ICP-R,0.370444,254
ICP-L,0.411271,239
SCP-R,0.530535,238
SCP-L,0.536838,236
CP-R,0.602168,572
CP-L,0.568237,528
ALIC-R,0.478537,791
ALIC-L,0.492808,719
PLIC-R,0.663624,892
PLIC-L,0.669394,883
RLIC-R,0.480146,770
RLIC-L,0.507163,726
ACR-R,0.353801,1560
ACR-L,0.351152,1569
SCR-R,0.488035,1416
SCR-L,0.517069,1362
PCR-R,0.409405,760
PCR-L,0.432825,677
PTR-R,0.450008,1009
PTR-L,0.455907,978
SS-R,0.432822,646
SS-L,0.413322,648
EC-R,0.333072,1451
EC-L,0.342795,1445
CGC-R,0.402421,287
CGC-L,0.438392,307
CGH-R,0.35088,261
CGH-L,0.365699,263
FX/ST-R,0.389981,310
FX/ST-L,0.374178,396
SLF-R,0.417224,1770
SLF-L,0.429046,1733
SFO-R,0.429691,98
SFO-L,0.432883,95
IFO-R,0.477716,48
IFO-L,0.418033,40
UNC-R,0.400891,74
UNC-L,0.352359,51
