Tract,Average,nVoxels
AverageFA,0.386015,117139
GCC,0.667459,1834
BCC,0.610976,3173
SCC,0.709591,2311
FX,0.41999,222
CST-R,0.510124,310
CST-L,0.552676,332
ML-R,0.508831,190
ML-L,0.51326,172
ICP-R,0.446563,254
ICP-L,0.434772,239
SCP-R,0.536662,238
SCP-L,0.538314,236
CP-R,0.641615,572
CP-L,0.644792,528
ALIC-R,0.517332,791
ALIC-L,0.496364,719
PLIC-R,0.640719,892
PLIC-L,0.641729,883
RLIC-R,0.542789,770
RLIC-L,0.538644,726
ACR-R,0.43145,1560
ACR-L,0.421104,1569
SCR-R,0.452875,1416
SCR-L,0.446402,1362
PCR-R,0.444929,760
PCR-L,0.427751,677
PTR-R,0.549243,1009
PTR-L,0.548574,978
SS-R,0.486529,646
SS-L,0.477525,648
EC-R,0.401608,1451
EC-L,0.400215,1445
CGC-R,0.492108,287
CGC-L,0.500661,307
CGH-R,0.463181,261
CGH-L,0.394037,263
FX/ST-R,0.528278,310
FX/ST-L,0.504111,396
SLF-R,0.458791,1770
SLF-L,0.447002,1733
SFO-R,0.47858,98
SFO-L,0.462964,95
IFO-R,0.464001,48
IFO-L,0.444761,40
UNC-R,0.575579,74
UNC-L,0.557952,51
