Tract,Average,nVoxels
AverageFA,0.396108,117139
GCC,0.658613,1834
BCC,0.601166,3173
SCC,0.722029,2311
FX,0.2744,222
CST-R,0.526314,310
CST-L,0.543519,332
ML-R,0.530575,190
ML-L,0.551178,172
ICP-R,0.462628,254
ICP-L,0.477,239
SCP-R,0.514922,238
SCP-L,0.530918,236
CP-R,0.628317,572
CP-L,0.6469,528
ALIC-R,0.537671,791
ALIC-L,0.546266,719
PLIC-R,0.651191,892
PLIC-L,0.642822,883
RLIC-R,0.602264,770
RLIC-L,0.601457,726
ACR-R,0.46041,1560
ACR-L,0.464976,1569
SCR-R,0.467941,1416
SCR-L,0.477109,1362
PCR-R,0.458624,760
PCR-L,0.475043,677
PTR-R,0.567914,1009
PTR-L,0.550871,978
SS-R,0.499248,646
SS-L,0.50413,648
EC-R,0.42225,1451
EC-L,0.393503,1445
CGC-R,0.507033,287
CGC-L,0.528514,307
CGH-R,0.414597,261
CGH-L,0.414273,263
FX/ST-R,0.488708,310
FX/ST-L,0.517117,396
SLF-R,0.472054,1770
SLF-L,0.462091,1733
SFO-R,0.459898,98
SFO-L,0.454832,95
IFO-R,0.461465,48
IFO-L,0.438194,40
UNC-R,0.518234,74
UNC-L,0.533731,51
