Tract,Average,nVoxels
AverageFA,0.390063,117139
GCC,0.646742,1834
BCC,0.584655,3173
SCC,0.681946,2311
FX,0.405208,222
CST-R,0.528435,310
CST-L,0.533052,332
ML-R,0.570633,190
ML-L,0.569594,172
ICP-R,0.443959,254
ICP-L,0.450684,239
SCP-R,0.524773,238
SCP-L,0.533857,236
CP-R,0.612907,572
CP-L,0.610539,528
ALIC-R,0.561786,791
ALIC-L,0.528902,719
PLIC-R,0.61524,892
PLIC-L,0.612323,883
RLIC-R,0.573167,770
RLIC-L,0.582749,726
ACR-R,0.509534,1560
ACR-L,0.475592,1569
SCR-R,0.449435,1416
SCR-L,0.416356,1362
PCR-R,0.464312,760
PCR-L,0.4444,677
PTR-R,0.568909,1009
PTR-L,0.566386,978
SS-R,0.577427,646
SS-L,0.578174,648
EC-R,0.440652,1451
EC-L,0.434503,1445
CGC-R,0.468609,287
CGC-L,0.539466,307
CGH-R,0.440879,261
CGH-L,0.43148,263
FX/ST-R,0.475352,310
FX/ST-L,0.512476,396
SLF-R,0.502602,1770
SLF-L,0.494605,1733
SFO-R,0.512411,98
SFO-L,0.451719,95
IFO-R,0.478226,48
IFO-L,0.430209,40
UNC-R,0.451667,74
UNC-L,0.426813,51
