Tract,Average,nVoxels
AverageFA,0.418069,117137
GCC,0.681121,1834
BCC,0.651099,3173
SCC,0.711522,2311
FX,0.38988,222
CST-R,0.55685,310
CST-L,0.553916,332
ML-R,0.611373,190
ML-L,0.592462,172
ICP-R,0.524836,254
ICP-L,0.476359,239
SCP-R,0.594086,238
SCP-L,0.58179,236
CP-R,0.650577,572
CP-L,0.653069,528
ALIC-R,0.574051,791
ALIC-L,0.565388,719
PLIC-R,0.657579,892
PLIC-L,0.664688,883
RLIC-R,0.575769,770
RLIC-L,0.581444,726
ACR-R,0.488922,1560
ACR-L,0.489846,1569
SCR-R,0.488947,1416
SCR-L,0.497167,1362
PCR-R,0.487532,760
PCR-L,0.469449,677
PTR-R,0.522566,1009
PTR-L,0.545311,978
SS-R,0.542784,646
SS-L,0.522429,648
EC-R,0.439134,1451
EC-L,0.440705,1445
CGC-R,0.497793,287
CGC-L,0.570428,307
CGH-R,0.483831,261
CGH-L,0.487997,263
FX/ST-R,0.519677,310
FX/ST-L,0.534061,396
SLF-R,0.480003,1770
SLF-L,0.494627,1733
SFO-R,0.469542,98
SFO-L,0.47508,95
IFO-R,0.519756,48
IFO-L,0.479957,40
UNC-R,0.506797,74
UNC-L,0.460038,51
