Tract,Average,nVoxels
AverageFA,0.422199,117137
GCC,0.718824,1834
BCC,0.663148,3173
SCC,0.734764,2311
FX,0.425011,222
CST-R,0.554985,310
CST-L,0.582898,332
ML-R,0.569345,190
ML-L,0.584954,172
ICP-R,0.458623,254
ICP-L,0.485382,239
SCP-R,0.548405,238
SCP-L,0.566037,236
CP-R,0.656635,572
CP-L,0.660437,528
ALIC-R,0.590188,791
ALIC-L,0.586476,719
PLIC-R,0.695213,892
PLIC-L,0.679327,883
RLIC-R,0.557271,770
RLIC-L,0.577677,726
ACR-R,0.488978,1560
ACR-L,0.485812,1569
SCR-R,0.497241,1416
SCR-L,0.480143,1362
PCR-R,0.524831,760
PCR-L,0.487878,677
PTR-R,0.547033,1009
PTR-L,0.563192,978
SS-R,0.469938,646
SS-L,0.52224,648
EC-R,0.418462,1451
EC-L,0.413932,1445
CGC-R,0.510658,287
CGC-L,0.536618,307
CGH-R,0.440988,261
CGH-L,0.483758,263
FX/ST-R,0.491096,310
FX/ST-L,0.496782,396
SLF-R,0.479015,1770
SLF-L,0.484056,1733
SFO-R,0.489301,98
SFO-L,0.485815,95
IFO-R,0.514097,48
IFO-L,0.452013,40
UNC-R,0.62774,74
UNC-L,0.580811,51
