Tract,Average,nVoxels
AverageFA,0.380838,117137
GCC,0.612169,1834
BCC,0.57817,3173
SCC,0.725991,2311
FX,0.331389,222
CST-R,0.566252,310
CST-L,0.55264,332
ML-R,0.584217,190
ML-L,0.582911,172
ICP-R,0.453274,254
ICP-L,0.452608,239
SCP-R,0.551648,238
SCP-L,0.574632,236
CP-R,0.626679,572
CP-L,0.633784,528
ALIC-R,0.511634,791
ALIC-L,0.513663,719
PLIC-R,0.684593,892
PLIC-L,0.676385,883
RLIC-R,0.5122,770
RLIC-L,0.539637,726
ACR-R,0.388041,1560
ACR-L,0.375455,1569
SCR-R,0.4562,1416
SCR-L,0.468469,1362
PCR-R,0.420367,760
PCR-L,0.43973,677
PTR-R,0.507773,1009
PTR-L,0.540691,978
SS-R,0.475704,646
SS-L,0.494665,648
EC-R,0.394493,1451
EC-L,0.384669,1445
CGC-R,0.471845,287
CGC-L,0.49876,307
CGH-R,0.430069,261
CGH-L,0.459435,263
FX/ST-R,0.505412,310
FX/ST-L,0.536358,396
SLF-R,0.430182,1770
SLF-L,0.439687,1733
SFO-R,0.422914,98
SFO-L,0.44349,95
IFO-R,0.479834,48
IFO-L,0.437302,40
UNC-R,0.477517,74
UNC-L,0.486581,51
