Tract,Average,nVoxels
AverageFA,0.385597,117139
GCC,0.64719,1834
BCC,0.575426,3173
SCC,0.696288,2311
FX,0.337546,222
CST-R,0.586863,310
CST-L,0.541725,332
ML-R,0.560418,190
ML-L,0.568613,172
ICP-R,0.487665,254
ICP-L,0.459133,239
SCP-R,0.600514,238
SCP-L,0.572167,236
CP-R,0.648003,572
CP-L,0.634507,528
ALIC-R,0.549416,791
ALIC-L,0.522917,719
PLIC-R,0.656195,892
PLIC-L,0.647355,883
RLIC-R,0.583569,770
RLIC-L,0.562538,726
ACR-R,0.44565,1560
ACR-L,0.431434,1569
SCR-R,0.457572,1416
SCR-L,0.440357,1362
PCR-R,0.45947,760
PCR-L,0.429666,677
PTR-R,0.500021,1009
PTR-L,0.47719,978
SS-R,0.517905,646
SS-L,0.491283,648
EC-R,0.421886,1451
EC-L,0.392121,1445
CGC-R,0.484137,287
CGC-L,0.53717,307
CGH-R,0.535793,261
CGH-L,0.467986,263
FX/ST-R,0.501049,310
FX/ST-L,0.47538,396
SLF-R,0.478632,1770
SLF-L,0.463365,1733
SFO-R,0.45231,98
SFO-L,0.391032,95
IFO-R,0.561929,48
IFO-L,0.488865,40
UNC-R,0.502343,74
UNC-L,0.434925,51
