Tract,Average,nVoxels
AverageFA,0.39073,117139
GCC,0.663518,1834
BCC,0.642852,3173
SCC,0.690351,2311
FX,0.409222,222
CST-R,0.505899,310
CST-L,0.533489,332
ML-R,0.553944,190
ML-L,0.529065,172
ICP-R,0.436397,254
ICP-L,0.444184,239
SCP-R,0.55564,238
SCP-L,0.5471,236
CP-R,0.633753,572
CP-L,0.594701,528
ALIC-R,0.560095,791
ALIC-L,0.520273,719
PLIC-R,0.61646,892
PLIC-L,0.638958,883
RLIC-R,0.491662,770
RLIC-L,0.534938,726
ACR-R,0.472924,1560
ACR-L,0.45073,1569
SCR-R,0.460025,1416
SCR-L,0.47959,1362
PCR-R,0.470836,760
PCR-L,0.432148,677
PTR-R,0.480584,1009
PTR-L,0.47908,978
SS-R,0.443808,646
SS-L,0.478912,648
EC-R,0.385744,1451
EC-L,0.378651,1445
CGC-R,0.481783,287
CGC-L,0.560227,307
CGH-R,0.443437,261
CGH-L,0.389938,263
FX/ST-R,0.424377,310
FX/ST-L,0.450552,396
SLF-R,0.471956,1770
SLF-L,0.466665,1733
SFO-R,0.427014,98
SFO-L,0.428624,95
IFO-R,0.401365,48
IFO-L,0.40311,40
UNC-R,0.584597,74
UNC-L,0.432678,51
