Tract,Average,nVoxels
AverageFA,0.387599,117139
GCC,0.651402,1834
BCC,0.613269,3173
SCC,0.70957,2311
FX,0.401487,222
CST-R,0.537703,310
CST-L,0.571405,332
ML-R,0.551792,190
ML-L,0.568663,172
ICP-R,0.440941,254
ICP-L,0.444756,239
SCP-R,0.573587,238
SCP-L,0.558036,236
CP-R,0.633319,572
CP-L,0.654457,528
ALIC-R,0.5243,791
ALIC-L,0.501493,719
PLIC-R,0.663108,892
PLIC-L,0.661862,883
RLIC-R,0.537012,770
RLIC-L,0.556922,726
ACR-R,0.419043,1560
ACR-L,0.441562,1569
SCR-R,0.453261,1416
SCR-L,0.459808,1362
PCR-R,0.44117,760
PCR-L,0.440717,677
PTR-R,0.504035,1009
PTR-L,0.5392,978
SS-R,0.488877,646
SS-L,0.484165,648
EC-R,0.414008,1451
EC-L,0.396696,1445
CGC-R,0.498174,287
CGC-L,0.550171,307
CGH-R,0.44945,261
CGH-L,0.421742,263
FX/ST-R,0.512621,310
FX/ST-L,0.521543,396
SLF-R,0.467169,1770
SLF-L,0.454955,1733
SFO-R,0.498725,98
SFO-L,0.471565,95
IFO-R,0.482023,48
IFO-L,0.444696,40
UNC-R,0.518567,74
UNC-L,0.510548,51
