Tract,Average,nVoxels
AverageFA,0.39627,117134
GCC,0.674306,1834
BCC,0.641497,3173
SCC,0.726501,2311
FX,0.386859,222
CST-R,0.535776,310
CST-L,0.531068,332
ML-R,0.533078,190
ML-L,0.541947,172
ICP-R,0.479231,254
ICP-L,0.461571,239
SCP-R,0.561689,238
SCP-L,0.567873,236
CP-R,0.622576,572
CP-L,0.618715,528
ALIC-R,0.531163,791
ALIC-L,0.509361,719
PLIC-R,0.674297,892
PLIC-L,0.663143,883
RLIC-R,0.508638,770
RLIC-L,0.559347,726
ACR-R,0.440461,1560
ACR-L,0.408532,1569
SCR-R,0.49882,1416
SCR-L,0.505934,1362
PCR-R,0.451504,760
PCR-L,0.47071,677
PTR-R,0.530068,1009
PTR-L,0.543024,978
SS-R,0.458721,646
SS-L,0.486838,648
EC-R,0.390115,1451
EC-L,0.388424,1445
CGC-R,0.488371,287
CGC-L,0.527025,307
CGH-R,0.441035,261
CGH-L,0.431855,263
FX/ST-R,0.50236,310
FX/ST-L,0.533592,396
SLF-R,0.445843,1770
SLF-L,0.460096,1733
SFO-R,0.466243,98
SFO-L,0.451741,95
IFO-R,0.46152,48
IFO-L,0.425528,40
UNC-R,0.579499,74
UNC-L,0.595849,51
