Tract,Average,nVoxels
AverageFA,0.403624,117139
GCC,0.665225,1834
BCC,0.581527,3173
SCC,0.747391,2311
FX,0.3797,222
CST-R,0.563654,310
CST-L,0.584012,332
ML-R,0.565065,190
ML-L,0.563918,172
ICP-R,0.428467,254
ICP-L,0.458143,239
SCP-R,0.568524,238
SCP-L,0.585146,236
CP-R,0.65075,572
CP-L,0.665989,528
ALIC-R,0.526338,791
ALIC-L,0.536945,719
PLIC-R,0.679164,892
PLIC-L,0.667187,883
RLIC-R,0.568967,770
RLIC-L,0.601383,726
ACR-R,0.468346,1560
ACR-L,0.473565,1569
SCR-R,0.47614,1416
SCR-L,0.487263,1362
PCR-R,0.450519,760
PCR-L,0.449151,677
PTR-R,0.54965,1009
PTR-L,0.560878,978
SS-R,0.542191,646
SS-L,0.543449,648
EC-R,0.422413,1451
EC-L,0.416453,1445
CGC-R,0.525259,287
CGC-L,0.573118,307
CGH-R,0.486904,261
CGH-L,0.461928,263
FX/ST-R,0.500844,310
FX/ST-L,0.520978,396
SLF-R,0.471533,1770
SLF-L,0.456354,1733
SFO-R,0.500209,98
SFO-L,0.485802,95
IFO-R,0.445385,48
IFO-L,0.462733,40
UNC-R,0.535756,74
UNC-L,0.508778,51
