Tract,Average,nVoxels
AverageFA,0.399576,117122
GCC,0.634321,1834
BCC,0.587862,3173
SCC,0.713796,2311
FX,0.370386,222
CST-R,0.6107,310
CST-L,0.631515,332
ML-R,0.578954,190
ML-L,0.584221,172
ICP-R,0.457851,254
ICP-L,0.478741,239
SCP-R,0.602763,238
SCP-L,0.599279,236
CP-R,0.631908,572
CP-L,0.667968,528
ALIC-R,0.495695,791
ALIC-L,0.527116,719
PLIC-R,0.647269,892
PLIC-L,0.681042,883
RLIC-R,0.517549,770
RLIC-L,0.583745,726
ACR-R,0.370498,1560
ACR-L,0.399707,1569
SCR-R,0.441609,1416
SCR-L,0.476748,1362
PCR-R,0.437527,760
PCR-L,0.463344,677
PTR-R,0.47636,1009
PTR-L,0.542058,978
SS-R,0.479882,646
SS-L,0.508433,648
EC-R,0.376974,1451
EC-L,0.411168,1445
CGC-R,0.523035,287
CGC-L,0.538179,307
CGH-R,0.471207,261
CGH-L,0.517293,263
FX/ST-R,0.475146,310
FX/ST-L,0.536044,396
SLF-R,0.456962,1770
SLF-L,0.47039,1733
SFO-R,0.449958,98
SFO-L,0.448038,95
IFO-R,0.43565,48
IFO-L,0.408993,40
UNC-R,0.499271,74
UNC-L,0.563002,51
