Tract,Average,nVoxels
AverageFA,0.398553,117125
GCC,0.649074,1834
BCC,0.628266,3173
SCC,0.703929,2311
FX,0.349051,222
CST-R,0.498072,310
CST-L,0.503762,332
ML-R,0.535996,190
ML-L,0.525845,172
ICP-R,0.45913,254
ICP-L,0.487721,239
SCP-R,0.560337,238
SCP-L,0.581062,236
CP-R,0.632135,572
CP-L,0.599708,528
ALIC-R,0.523941,791
ALIC-L,0.532282,719
PLIC-R,0.624221,892
PLIC-L,0.636324,883
RLIC-R,0.527145,770
RLIC-L,0.557059,726
ACR-R,0.45929,1560
ACR-L,0.478747,1569
SCR-R,0.455714,1416
SCR-L,0.460966,1362
PCR-R,0.43422,760
PCR-L,0.432367,677
PTR-R,0.530454,1009
PTR-L,0.539002,978
SS-R,0.482894,646
SS-L,0.559936,648
EC-R,0.409289,1451
EC-L,0.404319,1445
CGC-R,0.493062,287
CGC-L,0.528946,307
CGH-R,0.48223,261
CGH-L,0.563266,263
FX/ST-R,0.444151,310
FX/ST-L,0.528598,396
SLF-R,0.460359,1770
SLF-L,0.456685,1733
SFO-R,0.473381,98
SFO-L,0.49455,95
IFO-R,0.423205,48
IFO-L,0.415788,40
UNC-R,0.456892,74
UNC-L,0.388606,51
