Tract,Average,nVoxels
AverageFA,0.387108,117139
GCC,0.615206,1834
BCC,0.564149,3173
SCC,0.713867,2311
FX,0.341334,222
CST-R,0.678581,310
CST-L,0.702094,332
ML-R,0.595272,190
ML-L,0.575012,172
ICP-R,0.431816,254
ICP-L,0.482508,239
SCP-R,0.59218,238
SCP-L,0.605718,236
CP-R,0.630674,572
CP-L,0.63451,528
ALIC-R,0.546772,791
ALIC-L,0.527461,719
PLIC-R,0.680286,892
PLIC-L,0.680604,883
RLIC-R,0.517107,770
RLIC-L,0.555047,726
ACR-R,0.411327,1560
ACR-L,0.416178,1569
SCR-R,0.443691,1416
SCR-L,0.461074,1362
PCR-R,0.432452,760
PCR-L,0.430737,677
PTR-R,0.488615,1009
PTR-L,0.455798,978
SS-R,0.481927,646
SS-L,0.512142,648
EC-R,0.385575,1451
EC-L,0.388676,1445
CGC-R,0.491243,287
CGC-L,0.53503,307
CGH-R,0.410458,261
CGH-L,0.426891,263
FX/ST-R,0.465867,310
FX/ST-L,0.486399,396
SLF-R,0.437131,1770
SLF-L,0.467905,1733
SFO-R,0.440005,98
SFO-L,0.421629,95
IFO-R,0.482982,48
IFO-L,0.425537,40
UNC-R,0.477025,74
UNC-L,0.473824,51
