Tract,Average,nVoxels
AverageFA,0.365158,117138
GCC,0.6409,1834
BCC,0.534365,3173
SCC,0.652652,2311
FX,0.250418,222
CST-R,0.472736,310
CST-L,0.475786,332
ML-R,0.490988,190
ML-L,0.523655,172
ICP-R,0.398126,254
ICP-L,0.390968,239
SCP-R,0.545749,238
SCP-L,0.545443,236
CP-R,0.637335,572
CP-L,0.612248,528
ALIC-R,0.53085,791
ALIC-L,0.502728,719
PLIC-R,0.679967,892
PLIC-L,0.664351,883
RLIC-R,0.555417,770
RLIC-L,0.535179,726
ACR-R,0.416671,1560
ACR-L,0.391099,1569
SCR-R,0.533366,1416
SCR-L,0.502858,1362
PCR-R,0.464278,760
PCR-L,0.434174,677
PTR-R,0.461185,1009
PTR-L,0.440762,978
SS-R,0.438262,646
SS-L,0.445515,648
EC-R,0.376465,1451
EC-L,0.388782,1445
CGC-R,0.419925,287
CGC-L,0.474536,307
CGH-R,0.463926,261
CGH-L,0.380699,263
FX/ST-R,0.481226,310
FX/ST-L,0.477184,396
SLF-R,0.435243,1770
SLF-L,0.443375,1733
SFO-R,0.441615,98
SFO-L,0.42962,95
IFO-R,0.454644,48
IFO-L,0.47912,40
UNC-R,0.528771,74
UNC-L,0.572717,51
