Tract,Average,nVoxels
AverageFA,0.408052,117138
GCC,0.67524,1834
BCC,0.618416,3173
SCC,0.719639,2311
FX,0.353581,222
CST-R,0.532073,310
CST-L,0.564645,332
ML-R,0.61763,190
ML-L,0.621342,172
ICP-R,0.496179,254
ICP-L,0.514635,239
SCP-R,0.578625,238
SCP-L,0.594093,236
CP-R,0.635921,572
CP-L,0.640373,528
ALIC-R,0.542637,791
ALIC-L,0.549953,719
PLIC-R,0.675925,892
PLIC-L,0.67145,883
RLIC-R,0.548418,770
RLIC-L,0.550265,726
ACR-R,0.454966,1560
ACR-L,0.460526,1569
SCR-R,0.487478,1416
SCR-L,0.495753,1362
PCR-R,0.473357,760
PCR-L,0.490985,677
PTR-R,0.544538,1009
PTR-L,0.545811,978
SS-R,0.491837,646
SS-L,0.496357,648
EC-R,0.421476,1451
EC-L,0.420306,1445
CGC-R,0.522068,287
CGC-L,0.544562,307
CGH-R,0.445159,261
CGH-L,0.469389,263
FX/ST-R,0.48993,310
FX/ST-L,0.484276,396
SLF-R,0.438759,1770
SLF-L,0.459565,1733
SFO-R,0.469045,98
SFO-L,0.46612,95
IFO-R,0.506613,48
IFO-L,0.496419,40
UNC-R,0.545849,74
UNC-L,0.501535,51
