Tract,Average,nVoxels
AverageFA,0.42586,117130
GCC,0.694711,1834
BCC,0.647587,3173
SCC,0.747491,2311
FX,0.428907,222
CST-R,0.576137,310
CST-L,0.62052,332
ML-R,0.545279,190
ML-L,0.572547,172
ICP-R,0.490854,254
ICP-L,0.480806,239
SCP-R,0.572285,238
SCP-L,0.598813,236
CP-R,0.667898,572
CP-L,0.700612,528
ALIC-R,0.553619,791
ALIC-L,0.557036,719
PLIC-R,0.673708,892
PLIC-L,0.695509,883
RLIC-R,0.580357,770
RLIC-L,0.581649,726
ACR-R,0.481105,1560
ACR-L,0.479719,1569
SCR-R,0.51261,1416
SCR-L,0.550345,1362
PCR-R,0.52337,760
PCR-L,0.5082,677
PTR-R,0.58468,1009
PTR-L,0.586051,978
SS-R,0.51799,646
SS-L,0.518771,648
EC-R,0.429663,1451
EC-L,0.443582,1445
CGC-R,0.516555,287
CGC-L,0.57726,307
CGH-R,0.471624,261
CGH-L,0.449263,263
FX/ST-R,0.484968,310
FX/ST-L,0.525701,396
SLF-R,0.51176,1770
SLF-L,0.491609,1733
SFO-R,0.478838,98
SFO-L,0.486201,95
IFO-R,0.511427,48
IFO-L,0.446141,40
UNC-R,0.534028,74
UNC-L,0.550115,51
