Tract,Average,nVoxels
AverageFA,0.400655,117139
GCC,0.676437,1834
BCC,0.614674,3173
SCC,0.701493,2311
FX,0.416428,222
CST-R,0.508972,310
CST-L,0.481406,332
ML-R,0.540661,190
ML-L,0.539413,172
ICP-R,0.469614,254
ICP-L,0.483673,239
SCP-R,0.562684,238
SCP-L,0.548574,236
CP-R,0.641354,572
CP-L,0.641353,528
ALIC-R,0.564368,791
ALIC-L,0.563462,719
PLIC-R,0.636952,892
PLIC-L,0.646721,883
RLIC-R,0.595918,770
RLIC-L,0.613907,726
ACR-R,0.481242,1560
ACR-L,0.478912,1569
SCR-R,0.437863,1416
SCR-L,0.440797,1362
PCR-R,0.432133,760
PCR-L,0.410373,677
PTR-R,0.544064,1009
PTR-L,0.528666,978
SS-R,0.543315,646
SS-L,0.531252,648
EC-R,0.422838,1451
EC-L,0.416466,1445
CGC-R,0.490229,287
CGC-L,0.548119,307
CGH-R,0.462651,261
CGH-L,0.485301,263
FX/ST-R,0.555903,310
FX/ST-L,0.523508,396
SLF-R,0.459931,1770
SLF-L,0.433512,1733
SFO-R,0.458966,98
SFO-L,0.44095,95
IFO-R,0.460488,48
IFO-L,0.411553,40
UNC-R,0.495409,74
UNC-L,0.439133,51
