Tract,Average,nVoxels
AverageFA,0.358468,117139
GCC,0.575764,1834
BCC,0.473326,3173
SCC,0.572902,2311
FX,0.232338,222
CST-R,0.544835,310
CST-L,0.605492,332
ML-R,0.594329,190
ML-L,0.598838,172
ICP-R,0.447548,254
ICP-L,0.500689,239
SCP-R,0.550093,238
SCP-L,0.546309,236
CP-R,0.619463,572
CP-L,0.614684,528
ALIC-R,0.520887,791
ALIC-L,0.523392,719
PLIC-R,0.682403,892
PLIC-L,0.69709,883
RLIC-R,0.552691,770
RLIC-L,0.545544,726
ACR-R,0.368367,1560
ACR-L,0.36466,1569
SCR-R,0.510009,1416
SCR-L,0.530384,1362
PCR-R,0.429358,760
PCR-L,0.438851,677
PTR-R,0.469518,1009
PTR-L,0.506683,978
SS-R,0.437186,646
SS-L,0.452987,648
EC-R,0.378148,1451
EC-L,0.363466,1445
CGC-R,0.417551,287
CGC-L,0.459958,307
CGH-R,0.380208,261
CGH-L,0.449429,263
FX/ST-R,0.42252,310
FX/ST-L,0.430048,396
SLF-R,0.419505,1770
SLF-L,0.42665,1733
SFO-R,0.497559,98
SFO-L,0.514189,95
IFO-R,0.457105,48
IFO-L,0.432872,40
UNC-R,0.412513,74
UNC-L,0.504683,51
