Tract,Average,nVoxels
AverageFA,0.379572,117139
GCC,0.613196,1834
BCC,0.600193,3173
SCC,0.691813,2311
FX,0.412879,222
CST-R,0.478635,310
CST-L,0.49895,332
ML-R,0.571248,190
ML-L,0.574317,172
ICP-R,0.4737,254
ICP-L,0.476969,239
SCP-R,0.550685,238
SCP-L,0.542294,236
CP-R,0.621041,572
CP-L,0.638081,528
ALIC-R,0.50118,791
ALIC-L,0.502741,719
PLIC-R,0.62383,892
PLIC-L,0.641527,883
RLIC-R,0.548941,770
RLIC-L,0.556721,726
ACR-R,0.395443,1560
ACR-L,0.406405,1569
SCR-R,0.440095,1416
SCR-L,0.457612,1362
PCR-R,0.450959,760
PCR-L,0.455184,677
PTR-R,0.539221,1009
PTR-L,0.534104,978
SS-R,0.502057,646
SS-L,0.476144,648
EC-R,0.404658,1451
EC-L,0.401272,1445
CGC-R,0.49276,287
CGC-L,0.489728,307
CGH-R,0.398035,261
CGH-L,0.431996,263
FX/ST-R,0.475095,310
FX/ST-L,0.461583,396
SLF-R,0.458374,1770
SLF-L,0.460011,1733
SFO-R,0.484358,98
SFO-L,0.449875,95
IFO-R,0.488578,48
IFO-L,0.477119,40
UNC-R,0.470632,74
UNC-L,0.500356,51
