Tract,Average,nVoxels
AverageFA,0.423637,117139
GCC,0.706047,1834
BCC,0.634785,3173
SCC,0.751146,2311
FX,0.399552,222
CST-R,0.552034,310
CST-L,0.54863,332
ML-R,0.578352,190
ML-L,0.564129,172
ICP-R,0.493749,254
ICP-L,0.49745,239
SCP-R,0.621284,238
SCP-L,0.602152,236
CP-R,0.672463,572
CP-L,0.654227,528
ALIC-R,0.560159,791
ALIC-L,0.555229,719
PLIC-R,0.669958,892
PLIC-L,0.652818,883
RLIC-R,0.563732,770
RLIC-L,0.575957,726
ACR-R,0.490002,1560
ACR-L,0.470558,1569
SCR-R,0.498176,1416
SCR-L,0.501205,1362
PCR-R,0.50951,760
PCR-L,0.494958,677
PTR-R,0.596523,1009
PTR-L,0.578998,978
SS-R,0.535652,646
SS-L,0.535195,648
EC-R,0.443661,1451
EC-L,0.418225,1445
CGC-R,0.559247,287
CGC-L,0.573685,307
CGH-R,0.503846,261
CGH-L,0.479453,263
FX/ST-R,0.524678,310
FX/ST-L,0.534993,396
SLF-R,0.483633,1770
SLF-L,0.477269,1733
SFO-R,0.501659,98
SFO-L,0.50836,95
IFO-R,0.517954,48
IFO-L,0.491251,40
UNC-R,0.528911,74
UNC-L,0.552661,51
