Tract,Average,nVoxels
AverageFA,0.384846,117139
GCC,0.650817,1834
BCC,0.619458,3173
SCC,0.695577,2311
FX,0.364943,222
CST-R,0.501033,310
CST-L,0.524279,332
ML-R,0.506918,190
ML-L,0.509016,172
ICP-R,0.372894,254
ICP-L,0.385242,239
SCP-R,0.529721,238
SCP-L,0.539814,236
CP-R,0.579248,572
CP-L,0.576886,528
ALIC-R,0.47986,791
ALIC-L,0.48017,719
PLIC-R,0.617376,892
PLIC-L,0.622946,883
RLIC-R,0.499062,770
RLIC-L,0.563348,726
ACR-R,0.439589,1560
ACR-L,0.438959,1569
SCR-R,0.482641,1416
SCR-L,0.471967,1362
PCR-R,0.478728,760
PCR-L,0.435299,677
PTR-R,0.528192,1009
PTR-L,0.54936,978
SS-R,0.50007,646
SS-L,0.536181,648
EC-R,0.407636,1451
EC-L,0.386559,1445
CGC-R,0.461692,287
CGC-L,0.512029,307
CGH-R,0.455012,261
CGH-L,0.47121,263
FX/ST-R,0.497331,310
FX/ST-L,0.539453,396
SLF-R,0.47314,1770
SLF-L,0.470223,1733
SFO-R,0.446704,98
SFO-L,0.438725,95
IFO-R,0.456976,48
IFO-L,0.417233,40
UNC-R,0.482642,74
UNC-L,0.433824,51
