Tract,Average,nVoxels
AverageFA,0.373063,117138
GCC,0.602975,1834
BCC,0.574017,3173
SCC,0.676188,2311
FX,0.285243,222
CST-R,0.519661,310
CST-L,0.515385,332
ML-R,0.548387,190
ML-L,0.538752,172
ICP-R,0.458183,254
ICP-L,0.468099,239
SCP-R,0.58158,238
SCP-L,0.568909,236
CP-R,0.617932,572
CP-L,0.620379,528
ALIC-R,0.549435,791
ALIC-L,0.52865,719
PLIC-R,0.64886,892
PLIC-L,0.644998,883
RLIC-R,0.50949,770
RLIC-L,0.519504,726
ACR-R,0.453321,1560
ACR-L,0.41529,1569
SCR-R,0.472233,1416
SCR-L,0.439348,1362
PCR-R,0.487507,760
PCR-L,0.433627,677
PTR-R,0.481375,1009
PTR-L,0.458518,978
SS-R,0.42333,646
SS-L,0.460492,648
EC-R,0.39272,1451
EC-L,0.371117,1445
CGC-R,0.447588,287
CGC-L,0.517963,307
CGH-R,0.480053,261
CGH-L,0.45976,263
FX/ST-R,0.434309,310
FX/ST-L,0.46735,396
SLF-R,0.447711,1770
SLF-L,0.413938,1733
SFO-R,0.484219,98
SFO-L,0.419469,95
IFO-R,0.444727,48
IFO-L,0.424233,40
UNC-R,0.570794,74
UNC-L,0.494067,51
