Tract,Average,nVoxels
AverageFA,0.361542,117130
GCC,0.593692,1834
BCC,0.605657,3173
SCC,0.662484,2311
FX,0.324669,222
CST-R,0.426544,306
CST-L,0.475868,332
ML-R,0.501768,190
ML-L,0.503803,172
ICP-R,0.367144,254
ICP-L,0.387711,239
SCP-R,0.507094,238
SCP-L,0.530895,236
CP-R,0.580538,572
CP-L,0.589901,528
ALIC-R,0.494845,791
ALIC-L,0.478829,719
PLIC-R,0.654042,892
PLIC-L,0.634825,883
RLIC-R,0.456306,770
RLIC-L,0.478894,726
ACR-R,0.396344,1560
ACR-L,0.368611,1569
SCR-R,0.449877,1416
SCR-L,0.444607,1362
PCR-R,0.441748,760
PCR-L,0.404287,677
PTR-R,0.427137,1009
PTR-L,0.426324,978
SS-R,0.379577,646
SS-L,0.380926,648
EC-R,0.357695,1451
EC-L,0.345787,1445
CGC-R,0.451696,287
CGC-L,0.484483,307
CGH-R,0.384082,261
CGH-L,0.372235,263
FX/ST-R,0.440213,310
FX/ST-L,0.457274,396
SLF-R,0.399454,1770
SLF-L,0.39599,1733
SFO-R,0.415737,98
SFO-L,0.377778,95
IFO-R,0.472447,48
IFO-L,0.473258,40
UNC-R,0.470906,74
UNC-L,0.439428,51
