Tract,Average,nVoxels
AverageFA,0.404386,117130
GCC,0.697117,1834
BCC,0.631677,3173
SCC,0.717136,2311
FX,0.331949,222
CST-R,0.598648,310
CST-L,0.595468,332
ML-R,0.627588,190
ML-L,0.615534,172
ICP-R,0.546142,254
ICP-L,0.522138,239
SCP-R,0.542709,238
SCP-L,0.56243,236
CP-R,0.672091,572
CP-L,0.649522,528
ALIC-R,0.544968,791
ALIC-L,0.513466,719
PLIC-R,0.643198,892
PLIC-L,0.627776,883
RLIC-R,0.572055,770
RLIC-L,0.568386,726
ACR-R,0.464953,1560
ACR-L,0.451456,1569
SCR-R,0.471456,1416
SCR-L,0.473484,1362
PCR-R,0.494025,760
PCR-L,0.464095,677
PTR-R,0.547471,1009
PTR-L,0.527135,978
SS-R,0.48784,646
SS-L,0.50333,648
EC-R,0.398484,1451
EC-L,0.399469,1445
CGC-R,0.528383,287
CGC-L,0.526904,307
CGH-R,0.586399,261
CGH-L,0.483615,263
FX/ST-R,0.497071,310
FX/ST-L,0.479467,396
SLF-R,0.490454,1770
SLF-L,0.469531,1733
SFO-R,0.474236,98
SFO-L,0.42075,95
IFO-R,0.48551,48
IFO-L,0.527035,40
UNC-R,0.601296,74
UNC-L,0.570105,51
