Tract,Average,nVoxels
AverageFA,0.393552,117139
GCC,0.673271,1834
BCC,0.622542,3173
SCC,0.724583,2311
FX,0.399972,222
CST-R,0.52782,310
CST-L,0.505869,332
ML-R,0.547937,190
ML-L,0.547723,172
ICP-R,0.468175,254
ICP-L,0.502746,239
SCP-R,0.54572,238
SCP-L,0.564959,236
CP-R,0.64313,572
CP-L,0.656486,528
ALIC-R,0.513436,791
ALIC-L,0.520453,719
PLIC-R,0.673574,892
PLIC-L,0.686689,883
RLIC-R,0.527329,770
RLIC-L,0.592079,726
ACR-R,0.415939,1560
ACR-L,0.461993,1569
SCR-R,0.493937,1416
SCR-L,0.519759,1362
PCR-R,0.4497,760
PCR-L,0.446784,677
PTR-R,0.520401,1009
PTR-L,0.56242,978
SS-R,0.497403,646
SS-L,0.523635,648
EC-R,0.385804,1451
EC-L,0.415979,1445
CGC-R,0.501675,287
CGC-L,0.564692,307
CGH-R,0.368597,261
CGH-L,0.397013,263
FX/ST-R,0.484768,310
FX/ST-L,0.532112,396
SLF-R,0.431787,1770
SLF-L,0.441503,1733
SFO-R,0.483406,98
SFO-L,0.459134,95
IFO-R,0.428029,48
IFO-L,0.444631,40
UNC-R,0.564305,74
UNC-L,0.483997,51
