Tract,Average,nVoxels
AverageFA,0.388186,117139
GCC,0.624083,1834
BCC,0.607369,3173
SCC,0.698089,2311
FX,0.38632,222
CST-R,0.543591,310
CST-L,0.573772,332
ML-R,0.533544,190
ML-L,0.563003,172
ICP-R,0.474033,254
ICP-L,0.474777,239
SCP-R,0.510656,238
SCP-L,0.534001,236
CP-R,0.631422,572
CP-L,0.636479,528
ALIC-R,0.506594,791
ALIC-L,0.488576,719
PLIC-R,0.643858,892
PLIC-L,0.620454,883
RLIC-R,0.528781,770
RLIC-L,0.544404,726
ACR-R,0.429876,1560
ACR-L,0.43109,1569
SCR-R,0.461738,1416
SCR-L,0.481836,1362
PCR-R,0.473481,760
PCR-L,0.46189,677
PTR-R,0.5536,1009
PTR-L,0.537666,978
SS-R,0.464803,646
SS-L,0.471455,648
EC-R,0.391952,1451
EC-L,0.379985,1445
CGC-R,0.504409,287
CGC-L,0.502252,307
CGH-R,0.405096,261
CGH-L,0.418783,263
FX/ST-R,0.460355,310
FX/ST-L,0.472325,396
SLF-R,0.445759,1770
SLF-L,0.443366,1733
SFO-R,0.502842,98
SFO-L,0.420131,95
IFO-R,0.496679,48
IFO-L,0.461887,40
UNC-R,0.53924,74
UNC-L,0.496831,51
