Tract,Average,nVoxels
AverageFA,0.36927,117103
GCC,0.624179,1834
BCC,0.520763,3173
SCC,0.658824,2311
FX,0.252283,222
CST-R,0.527616,310
CST-L,0.560265,332
ML-R,0.587273,190
ML-L,0.581174,172
ICP-R,0.462399,254
ICP-L,0.49343,239
SCP-R,0.581978,238
SCP-L,0.584127,236
CP-R,0.615464,572
CP-L,0.636037,528
ALIC-R,0.518851,791
ALIC-L,0.512244,719
PLIC-R,0.664779,892
PLIC-L,0.672297,883
RLIC-R,0.511923,770
RLIC-L,0.549231,726
ACR-R,0.417366,1560
ACR-L,0.435647,1569
SCR-R,0.492062,1416
SCR-L,0.522134,1362
PCR-R,0.404284,760
PCR-L,0.489358,677
PTR-R,0.474542,1009
PTR-L,0.541157,978
SS-R,0.4491,646
SS-L,0.448007,648
EC-R,0.372251,1451
EC-L,0.367236,1445
CGC-R,0.46768,287
CGC-L,0.487767,307
CGH-R,0.339326,261
CGH-L,0.442855,263
FX/ST-R,0.448645,310
FX/ST-L,0.461539,396
SLF-R,0.461539,1770
SLF-L,0.458976,1733
SFO-R,0.45242,98
SFO-L,0.418657,95
IFO-R,0.357232,48
IFO-L,0.370201,40
UNC-R,0.380266,74
UNC-L,0.52505,51
