Tract,Average,nVoxels
AverageFA,0.362475,117133
GCC,0.582416,1834
BCC,0.522914,3173
SCC,0.670094,2311
FX,0.344706,222
CST-R,0.475364,310
CST-L,0.456993,332
ML-R,0.612335,190
ML-L,0.609081,172
ICP-R,0.478764,254
ICP-L,0.512685,239
SCP-R,0.547068,238
SCP-L,0.51218,236
CP-R,0.599311,572
CP-L,0.59174,528
ALIC-R,0.479363,791
ALIC-L,0.443407,719
PLIC-R,0.618506,892
PLIC-L,0.606304,883
RLIC-R,0.502843,770
RLIC-L,0.537598,726
ACR-R,0.395167,1560
ACR-L,0.385869,1569
SCR-R,0.427978,1416
SCR-L,0.43325,1362
PCR-R,0.436016,760
PCR-L,0.441768,677
PTR-R,0.504432,1009
PTR-L,0.515887,978
SS-R,0.468869,646
SS-L,0.475243,648
EC-R,0.36365,1451
EC-L,0.340937,1445
CGC-R,0.401472,287
CGC-L,0.433381,307
CGH-R,0.458115,261
CGH-L,0.470142,263
FX/ST-R,0.520785,310
FX/ST-L,0.515097,396
SLF-R,0.42279,1770
SLF-L,0.405953,1733
SFO-R,0.379126,98
SFO-L,0.390481,95
IFO-R,0.36899,48
IFO-L,0.328563,40
UNC-R,0.457182,74
UNC-L,0.449804,51
