Tract,Average,nVoxels
AverageFA,0.39998,117106
GCC,0.687751,1834
BCC,0.600428,3173
SCC,0.709849,2311
FX,0.38532,222
CST-R,0.488422,310
CST-L,0.513257,332
ML-R,0.590684,190
ML-L,0.6135,172
ICP-R,0.466816,254
ICP-L,0.471193,239
SCP-R,0.586984,238
SCP-L,0.585045,236
CP-R,0.646186,572
CP-L,0.641629,528
ALIC-R,0.514991,791
ALIC-L,0.549552,719
PLIC-R,0.635731,892
PLIC-L,0.657685,883
RLIC-R,0.502253,770
RLIC-L,0.550981,726
ACR-R,0.461398,1560
ACR-L,0.442944,1569
SCR-R,0.424483,1416
SCR-L,0.478705,1362
PCR-R,0.415721,760
PCR-L,0.41183,677
PTR-R,0.507281,1009
PTR-L,0.494229,978
SS-R,0.480473,646
SS-L,0.494521,648
EC-R,0.404951,1451
EC-L,0.41483,1445
CGC-R,0.504651,287
CGC-L,0.569433,307
CGH-R,0.462977,261
CGH-L,0.428924,263
FX/ST-R,0.531571,310
FX/ST-L,0.525426,396
SLF-R,0.431934,1770
SLF-L,0.493296,1733
SFO-R,0.431973,98
SFO-L,0.467348,95
IFO-R,0.46482,48
IFO-L,0.443434,40
UNC-R,0.525868,74
UNC-L,0.50476,51
