Tract,Average,nVoxels
AverageFA,0.395568,117139
GCC,0.672566,1834
BCC,0.630246,3173
SCC,0.679115,2311
FX,0.373549,222
CST-R,0.55875,310
CST-L,0.526963,332
ML-R,0.571773,190
ML-L,0.584741,172
ICP-R,0.47064,254
ICP-L,0.489116,239
SCP-R,0.533072,238
SCP-L,0.539428,236
CP-R,0.659672,572
CP-L,0.658531,528
ALIC-R,0.543589,791
ALIC-L,0.537292,719
PLIC-R,0.660424,892
PLIC-L,0.653419,883
RLIC-R,0.552606,770
RLIC-L,0.546704,726
ACR-R,0.477269,1560
ACR-L,0.463338,1569
SCR-R,0.461843,1416
SCR-L,0.46262,1362
PCR-R,0.458822,760
PCR-L,0.424557,677
PTR-R,0.54016,1009
PTR-L,0.513611,978
SS-R,0.489529,646
SS-L,0.500941,648
EC-R,0.423964,1451
EC-L,0.404985,1445
CGC-R,0.465579,287
CGC-L,0.523237,307
CGH-R,0.488122,261
CGH-L,0.405478,263
FX/ST-R,0.49181,310
FX/ST-L,0.508312,396
SLF-R,0.44306,1770
SLF-L,0.430956,1733
SFO-R,0.469116,98
SFO-L,0.479546,95
IFO-R,0.476917,48
IFO-L,0.427154,40
UNC-R,0.517616,74
UNC-L,0.422681,51
