Tract,Average,nVoxels
AverageFA,0.389969,117137
GCC,0.624054,1834
BCC,0.598239,3173
SCC,0.709555,2311
FX,0.425007,222
CST-R,0.619635,310
CST-L,0.621765,332
ML-R,0.579109,190
ML-L,0.569881,172
ICP-R,0.472261,254
ICP-L,0.474042,239
SCP-R,0.553642,238
SCP-L,0.550406,236
CP-R,0.632468,572
CP-L,0.64429,528
ALIC-R,0.49555,791
ALIC-L,0.517674,719
PLIC-R,0.666424,892
PLIC-L,0.669175,883
RLIC-R,0.519687,770
RLIC-L,0.555141,726
ACR-R,0.419844,1560
ACR-L,0.437427,1569
SCR-R,0.488641,1416
SCR-L,0.486198,1362
PCR-R,0.470443,760
PCR-L,0.473742,677
PTR-R,0.525576,1009
PTR-L,0.509047,978
SS-R,0.459678,646
SS-L,0.485647,648
EC-R,0.378078,1451
EC-L,0.379568,1445
CGC-R,0.527517,287
CGC-L,0.611536,307
CGH-R,0.423093,261
CGH-L,0.439526,263
FX/ST-R,0.439917,310
FX/ST-L,0.473839,396
SLF-R,0.498864,1770
SLF-L,0.493854,1733
SFO-R,0.456735,98
SFO-L,0.465607,95
IFO-R,0.438476,48
IFO-L,0.432822,40
UNC-R,0.487959,74
UNC-L,0.462716,51
