Average
0.346436
0.566638
0.507585
0.636608
0.23383
0.526763
0.518548
0.487491
0.507397
0.412343
0.404396
0.557065
0.516784
0.590036
0.568236
0.505137
0.479343
0.651172
0.643101
0.491388
0.474502
0.381576
0.354001
0.452303
0.448413
0.421571
0.440758
0.45518
0.446407
0.434325
0.448384
0.361187
0.329021
0.42559
0.46295
0.407464
0.329678
0.44553
0.468714
0.402533
0.421922
0.429583
0.417294
0.453164
0.383849
0.447943
0.449021
