Tract,Average,nVoxels
AverageFA,0.407887,117139
GCC,0.703406,1834
BCC,0.600151,3173
SCC,0.701375,2311
FX,0.408954,222
CST-R,0.491924,310
CST-L,0.520331,332
ML-R,0.596316,190
ML-L,0.600726,172
ICP-R,0.472957,254
ICP-L,0.503339,239
SCP-R,0.569674,238
SCP-L,0.586213,236
CP-R,0.64214,572
CP-L,0.656634,528
ALIC-R,0.579044,791
ALIC-L,0.60259,719
PLIC-R,0.671556,892
PLIC-L,0.704423,883
RLIC-R,0.554601,770
RLIC-L,0.570739,726
ACR-R,0.511009,1560
ACR-L,0.491574,1569
SCR-R,0.47604,1416
SCR-L,0.499816,1362
PCR-R,0.447151,760
PCR-L,0.419598,677
PTR-R,0.559653,1009
PTR-L,0.529172,978
SS-R,0.490909,646
SS-L,0.518805,648
EC-R,0.392885,1451
EC-L,0.378497,1445
CGC-R,0.481633,287
CGC-L,0.541751,307
CGH-R,0.457963,261
CGH-L,0.494477,263
FX/ST-R,0.518546,310
FX/ST-L,0.533875,396
SLF-R,0.483798,1770
SLF-L,0.463607,1733
SFO-R,0.517754,98
SFO-L,0.527285,95
IFO-R,0.424005,48
IFO-L,0.42585,40
UNC-R,0.568023,74
UNC-L,0.508012,51
