Tract,Average,nVoxels
AverageFA,0.394716,117139
GCC,0.646802,1834
BCC,0.612123,3173
SCC,0.707523,2311
FX,0.463903,222
CST-R,0.522308,310
CST-L,0.513287,332
ML-R,0.5365,190
ML-L,0.529096,172
ICP-R,0.456584,254
ICP-L,0.472946,239
SCP-R,0.570263,238
SCP-L,0.579028,236
CP-R,0.617421,572
CP-L,0.643177,528
ALIC-R,0.475887,791
ALIC-L,0.511491,719
PLIC-R,0.604283,892
PLIC-L,0.623143,883
RLIC-R,0.560657,770
RLIC-L,0.56792,726
ACR-R,0.409092,1560
ACR-L,0.426674,1569
SCR-R,0.43682,1416
SCR-L,0.458113,1362
PCR-R,0.471043,760
PCR-L,0.462294,677
PTR-R,0.557371,1009
PTR-L,0.539486,978
SS-R,0.497661,646
SS-L,0.508484,648
EC-R,0.406679,1451
EC-L,0.403064,1445
CGC-R,0.468905,287
CGC-L,0.487054,307
CGH-R,0.48337,261
CGH-L,0.477556,263
FX/ST-R,0.505571,310
FX/ST-L,0.506454,396
SLF-R,0.462597,1770
SLF-L,0.455621,1733
SFO-R,0.439383,98
SFO-L,0.462041,95
IFO-R,0.473292,48
IFO-L,0.47323,40
UNC-R,0.511266,74
UNC-L,0.465937,51
