Tract,Average,nVoxels
AverageFA,0.351876,117139
GCC,0.589357,1834
BCC,0.564,3173
SCC,0.645864,2311
FX,0.365575,222
CST-R,0.461937,310
CST-L,0.477519,332
ML-R,0.510141,190
ML-L,0.516808,172
ICP-R,0.414105,254
ICP-L,0.443017,239
SCP-R,0.511081,238
SCP-L,0.548525,236
CP-R,0.600019,572
CP-L,0.592273,528
ALIC-R,0.484355,791
ALIC-L,0.496245,719
PLIC-R,0.610465,892
PLIC-L,0.637578,883
RLIC-R,0.469727,770
RLIC-L,0.470013,726
ACR-R,0.361767,1560
ACR-L,0.376014,1569
SCR-R,0.407657,1416
SCR-L,0.42568,1362
PCR-R,0.399679,760
PCR-L,0.371459,677
PTR-R,0.450757,1009
PTR-L,0.456476,978
SS-R,0.41838,646
SS-L,0.432955,648
EC-R,0.353137,1451
EC-L,0.355838,1445
CGC-R,0.475008,287
CGC-L,0.509736,307
CGH-R,0.3826,261
CGH-L,0.391181,263
FX/ST-R,0.410493,310
FX/ST-L,0.429905,396
SLF-R,0.416289,1770
SLF-L,0.409451,1733
SFO-R,0.374208,98
SFO-L,0.380347,95
IFO-R,0.400055,48
IFO-L,0.372275,40
UNC-R,0.445076,74
UNC-L,0.382684,51
