Tract,Average,nVoxels
AverageFA,0.329751,117131
GCC,0.553695,1834
BCC,0.459847,3173
SCC,0.599007,2311
FX,0.285019,222
CST-R,0.431721,310
CST-L,0.450142,332
ML-R,0.527547,190
ML-L,0.542308,172
ICP-R,0.433327,254
ICP-L,0.433324,239
SCP-R,0.494858,238
SCP-L,0.539284,236
CP-R,0.602066,572
CP-L,0.5607,528
ALIC-R,0.447584,791
ALIC-L,0.483972,719
PLIC-R,0.591918,892
PLIC-L,0.58186,883
RLIC-R,0.48255,770
RLIC-L,0.523346,726
ACR-R,0.397705,1560
ACR-L,0.387376,1569
SCR-R,0.36978,1416
SCR-L,0.37277,1362
PCR-R,0.368049,760
PCR-L,0.413935,677
PTR-R,0.446975,1009
PTR-L,0.483269,978
SS-R,0.447937,646
SS-L,0.495459,648
EC-R,0.32584,1451
EC-L,0.334596,1445
CGC-R,0.378617,287
CGC-L,0.430152,307
CGH-R,0.353588,261
CGH-L,0.462435,263
FX/ST-R,0.408296,310
FX/ST-L,0.453671,396
SLF-R,0.353636,1770
SLF-L,0.405124,1733
SFO-R,0.418893,98
SFO-L,0.405323,95
IFO-R,0.38836,48
IFO-L,0.332454,40
UNC-R,0.417418,74
UNC-L,0.454607,51
