Tract,Average,nVoxels
AverageFA,0.362624,117136
GCC,0.576327,1834
BCC,0.531085,3173
SCC,0.627197,2311
FX,0.29879,222
CST-R,0.542552,310
CST-L,0.575854,332
ML-R,0.571701,190
ML-L,0.577359,172
ICP-R,0.488127,254
ICP-L,0.472757,239
SCP-R,0.587535,238
SCP-L,0.577131,236
CP-R,0.617623,572
CP-L,0.603423,528
ALIC-R,0.507986,791
ALIC-L,0.488805,719
PLIC-R,0.63933,892
PLIC-L,0.655633,883
RLIC-R,0.460284,770
RLIC-L,0.495008,726
ACR-R,0.402512,1560
ACR-L,0.379765,1569
SCR-R,0.446315,1416
SCR-L,0.452615,1362
PCR-R,0.402516,760
PCR-L,0.400507,677
PTR-R,0.441513,1009
PTR-L,0.438565,978
SS-R,0.468856,646
SS-L,0.442096,648
EC-R,0.354371,1451
EC-L,0.333481,1445
CGC-R,0.439878,287
CGC-L,0.440208,307
CGH-R,0.44393,261
CGH-L,0.395329,263
FX/ST-R,0.432768,310
FX/ST-L,0.48118,396
SLF-R,0.410926,1770
SLF-L,0.438901,1733
SFO-R,0.44108,98
SFO-L,0.41377,95
IFO-R,0.39688,48
IFO-L,0.417529,40
UNC-R,0.350964,74
UNC-L,0.344976,51
