Tract,Average,nVoxels
AverageFA,0.342554,117138
GCC,0.591128,1834
BCC,0.407091,3173
SCC,0.588698,2311
FX,0.31837,222
CST-R,0.507611,310
CST-L,0.555942,332
ML-R,0.57501,190
ML-L,0.56922,172
ICP-R,0.420547,254
ICP-L,0.43072,239
SCP-R,0.523288,238
SCP-L,0.532576,236
CP-R,0.613865,572
CP-L,0.603841,528
ALIC-R,0.488189,791
ALIC-L,0.493245,719
PLIC-R,0.602596,892
PLIC-L,0.617537,883
RLIC-R,0.472845,770
RLIC-L,0.504822,726
ACR-R,0.394805,1560
ACR-L,0.404653,1569
SCR-R,0.438093,1416
SCR-L,0.410371,1362
PCR-R,0.391134,760
PCR-L,0.393087,677
PTR-R,0.438766,1009
PTR-L,0.445907,978
SS-R,0.425821,646
SS-L,0.445131,648
EC-R,0.351879,1451
EC-L,0.349026,1445
CGC-R,0.395183,287
CGC-L,0.382358,307
CGH-R,0.407109,261
CGH-L,0.50478,263
FX/ST-R,0.453,310
FX/ST-L,0.455685,396
SLF-R,0.360833,1770
SLF-L,0.389166,1733
SFO-R,0.429675,98
SFO-L,0.453454,95
IFO-R,0.399433,48
IFO-L,0.354272,40
UNC-R,0.442051,74
UNC-L,0.406507,51
