Tract,Average,nVoxels
AverageFA,0.356449,117139
GCC,0.600033,1834
BCC,0.548979,3173
SCC,0.655706,2311
FX,0.315518,222
CST-R,0.485766,310
CST-L,0.492374,332
ML-R,0.503434,190
ML-L,0.524667,172
ICP-R,0.457512,254
ICP-L,0.452444,239
SCP-R,0.568859,238
SCP-L,0.548497,236
CP-R,0.601868,572
CP-L,0.586321,528
ALIC-R,0.522879,791
ALIC-L,0.470987,719
PLIC-R,0.593046,892
PLIC-L,0.574849,883
RLIC-R,0.503602,770
RLIC-L,0.520508,726
ACR-R,0.413201,1560
ACR-L,0.426807,1569
SCR-R,0.418075,1416
SCR-L,0.422387,1362
PCR-R,0.421816,760
PCR-L,0.419952,677
PTR-R,0.47286,1009
PTR-L,0.490685,978
SS-R,0.490448,646
SS-L,0.461005,648
EC-R,0.390939,1451
EC-L,0.368068,1445
CGC-R,0.41063,287
CGC-L,0.419855,307
CGH-R,0.430864,261
CGH-L,0.45894,263
FX/ST-R,0.443193,310
FX/ST-L,0.461395,396
SLF-R,0.42877,1770
SLF-L,0.427902,1733
SFO-R,0.426311,98
SFO-L,0.412896,95
IFO-R,0.422017,48
IFO-L,0.429477,40
UNC-R,0.515257,74
UNC-L,0.518747,51
