Tract,Average,nVoxels
AverageFA,0.418312,117139
GCC,0.691077,1834
BCC,0.64378,3173
SCC,0.69859,2311
FX,0.43067,222
CST-R,0.588589,310
CST-L,0.587195,332
ML-R,0.608476,190
ML-L,0.58145,172
ICP-R,0.489165,254
ICP-L,0.501722,239
SCP-R,0.54861,238
SCP-L,0.551705,236
CP-R,0.69304,572
CP-L,0.708921,528
ALIC-R,0.584902,791
ALIC-L,0.583767,719
PLIC-R,0.678241,892
PLIC-L,0.720662,883
RLIC-R,0.569391,770
RLIC-L,0.576569,726
ACR-R,0.488146,1560
ACR-L,0.482251,1569
SCR-R,0.486394,1416
SCR-L,0.500164,1362
PCR-R,0.480398,760
PCR-L,0.480756,677
PTR-R,0.544799,1009
PTR-L,0.568431,978
SS-R,0.52853,646
SS-L,0.528346,648
EC-R,0.439327,1451
EC-L,0.447215,1445
CGC-R,0.532149,287
CGC-L,0.559991,307
CGH-R,0.567827,261
CGH-L,0.48637,263
FX/ST-R,0.567382,310
FX/ST-L,0.560875,396
SLF-R,0.505052,1770
SLF-L,0.493036,1733
SFO-R,0.468017,98
SFO-L,0.475042,95
IFO-R,0.484754,48
IFO-L,0.481324,40
UNC-R,0.597779,74
UNC-L,0.602417,51
