Tract,Average,nVoxels
AverageFA,0.401501,117139
GCC,0.688296,1834
BCC,0.636015,3173
SCC,0.689637,2311
FX,0.340314,222
CST-R,0.512908,310
CST-L,0.507014,332
ML-R,0.552703,190
ML-L,0.549911,172
ICP-R,0.498887,254
ICP-L,0.461003,239
SCP-R,0.575515,238
SCP-L,0.558222,236
CP-R,0.636624,572
CP-L,0.617976,528
ALIC-R,0.548258,791
ALIC-L,0.54114,719
PLIC-R,0.658168,892
PLIC-L,0.679715,883
RLIC-R,0.556879,770
RLIC-L,0.582415,726
ACR-R,0.46999,1560
ACR-L,0.471864,1569
SCR-R,0.446441,1416
SCR-L,0.46593,1362
PCR-R,0.47526,760
PCR-L,0.445957,677
PTR-R,0.527439,1009
PTR-L,0.521766,978
SS-R,0.520679,646
SS-L,0.554043,648
EC-R,0.394533,1451
EC-L,0.385918,1445
CGC-R,0.483277,287
CGC-L,0.508143,307
CGH-R,0.510083,261
CGH-L,0.526435,263
FX/ST-R,0.479707,310
FX/ST-L,0.500785,396
SLF-R,0.452734,1770
SLF-L,0.472131,1733
SFO-R,0.468597,98
SFO-L,0.473926,95
IFO-R,0.439103,48
IFO-L,0.387647,40
UNC-R,0.532964,74
UNC-L,0.427682,51
