Tract,Average,nVoxels
AverageFA,0.387019,117139
GCC,0.623012,1834
BCC,0.560459,3173
SCC,0.690419,2311
FX,0.281719,222
CST-R,0.565692,310
CST-L,0.569789,332
ML-R,0.579375,190
ML-L,0.587198,172
ICP-R,0.447619,254
ICP-L,0.470792,239
SCP-R,0.556244,238
SCP-L,0.55343,236
CP-R,0.623743,572
CP-L,0.666476,528
ALIC-R,0.527735,791
ALIC-L,0.556075,719
PLIC-R,0.664793,892
PLIC-L,0.676894,883
RLIC-R,0.517917,770
RLIC-L,0.559101,726
ACR-R,0.380497,1560
ACR-L,0.413761,1569
SCR-R,0.474769,1416
SCR-L,0.521355,1362
PCR-R,0.429136,760
PCR-L,0.476562,677
PTR-R,0.502479,1009
PTR-L,0.554975,978
SS-R,0.439138,646
SS-L,0.477582,648
EC-R,0.387695,1451
EC-L,0.391839,1445
CGC-R,0.486185,287
CGC-L,0.575172,307
CGH-R,0.387001,261
CGH-L,0.42573,263
FX/ST-R,0.479492,310
FX/ST-L,0.535491,396
SLF-R,0.431085,1770
SLF-L,0.449069,1733
SFO-R,0.462198,98
SFO-L,0.492731,95
IFO-R,0.430205,48
IFO-L,0.441685,40
UNC-R,0.456726,74
UNC-L,0.471862,51
