Tract,Average,nVoxels
AverageFA,0.40914,117139
GCC,0.692256,1834
BCC,0.611614,3173
SCC,0.721096,2311
FX,0.39573,222
CST-R,0.584059,310
CST-L,0.58091,332
ML-R,0.613092,190
ML-L,0.581973,172
ICP-R,0.509245,254
ICP-L,0.507918,239
SCP-R,0.580686,238
SCP-L,0.560997,236
CP-R,0.64039,572
CP-L,0.651965,528
ALIC-R,0.555208,791
ALIC-L,0.564263,719
PLIC-R,0.64376,892
PLIC-L,0.650615,883
RLIC-R,0.557895,770
RLIC-L,0.574708,726
ACR-R,0.534199,1560
ACR-L,0.519304,1569
SCR-R,0.439979,1416
SCR-L,0.438034,1362
PCR-R,0.459666,760
PCR-L,0.437737,677
PTR-R,0.543772,1009
PTR-L,0.530124,978
SS-R,0.514858,646
SS-L,0.570837,648
EC-R,0.408617,1451
EC-L,0.42049,1445
CGC-R,0.505463,287
CGC-L,0.525176,307
CGH-R,0.478059,261
CGH-L,0.446876,263
FX/ST-R,0.54035,310
FX/ST-L,0.564265,396
SLF-R,0.45742,1770
SLF-L,0.481561,1733
SFO-R,0.512042,98
SFO-L,0.486108,95
IFO-R,0.418029,48
IFO-L,0.456426,40
UNC-R,0.46212,74
UNC-L,0.426334,51
