Tract,Average,nVoxels
AverageFA,0.374848,117138
GCC,0.625798,1834
BCC,0.593559,3173
SCC,0.67468,2311
FX,0.380227,222
CST-R,0.540722,310
CST-L,0.553364,332
ML-R,0.544297,190
ML-L,0.547562,172
ICP-R,0.445331,254
ICP-L,0.434934,239
SCP-R,0.550882,238
SCP-L,0.556572,236
CP-R,0.61853,572
CP-L,0.63276,528
ALIC-R,0.534953,791
ALIC-L,0.520921,719
PLIC-R,0.671641,892
PLIC-L,0.677732,883
RLIC-R,0.507321,770
RLIC-L,0.530071,726
ACR-R,0.387668,1560
ACR-L,0.385303,1569
SCR-R,0.471189,1416
SCR-L,0.47736,1362
PCR-R,0.444546,760
PCR-L,0.431665,677
PTR-R,0.496318,1009
PTR-L,0.500437,978
SS-R,0.444254,646
SS-L,0.448316,648
EC-R,0.374235,1451
EC-L,0.359959,1445
CGC-R,0.443902,287
CGC-L,0.466925,307
CGH-R,0.420521,261
CGH-L,0.437949,263
FX/ST-R,0.500535,310
FX/ST-L,0.504799,396
SLF-R,0.432839,1770
SLF-L,0.419372,1733
SFO-R,0.465887,98
SFO-L,0.42918,95
IFO-R,0.425893,48
IFO-L,0.411741,40
UNC-R,0.524212,74
UNC-L,0.477711,51
