Tract,Average,nVoxels
AverageFA,0.354749,117138
GCC,0.553157,1834
BCC,0.483553,3173
SCC,0.657099,2311
FX,0.261088,222
CST-R,0.611353,310
CST-L,0.600407,332
ML-R,0.485281,190
ML-L,0.489246,172
ICP-R,0.406691,254
ICP-L,0.408995,239
SCP-R,0.528001,238
SCP-L,0.532068,236
CP-R,0.587799,572
CP-L,0.617884,528
ALIC-R,0.478614,791
ALIC-L,0.467602,719
PLIC-R,0.734914,892
PLIC-L,0.692005,883
RLIC-R,0.519135,770
RLIC-L,0.514064,726
ACR-R,0.366241,1560
ACR-L,0.380135,1569
SCR-R,0.467391,1416
SCR-L,0.480628,1362
PCR-R,0.43699,760
PCR-L,0.421769,677
PTR-R,0.509088,1009
PTR-L,0.489119,978
SS-R,0.45563,646
SS-L,0.473144,648
EC-R,0.358767,1451
EC-L,0.350304,1445
CGC-R,0.41988,287
CGC-L,0.427098,307
CGH-R,0.443876,261
CGH-L,0.422464,263
FX/ST-R,0.467417,310
FX/ST-L,0.469881,396
SLF-R,0.411373,1770
SLF-L,0.406128,1733
SFO-R,0.436031,98
SFO-L,0.428297,95
IFO-R,0.447112,48
IFO-L,0.380747,40
UNC-R,0.568336,74
UNC-L,0.442493,51
