Tract,Average,nVoxels
AverageFA,0.41492,117138
GCC,0.708758,1834
BCC,0.637051,3173
SCC,0.71484,2311
FX,0.397038,222
CST-R,0.479068,310
CST-L,0.482514,332
ML-R,0.552489,190
ML-L,0.536652,172
ICP-R,0.475777,254
ICP-L,0.481883,239
SCP-R,0.548944,238
SCP-L,0.561398,236
CP-R,0.702642,572
CP-L,0.682377,528
ALIC-R,0.620501,791
ALIC-L,0.560959,719
PLIC-R,0.649127,892
PLIC-L,0.62402,883
RLIC-R,0.572187,770
RLIC-L,0.588333,726
ACR-R,0.558243,1560
ACR-L,0.544109,1569
SCR-R,0.475504,1416
SCR-L,0.483914,1362
PCR-R,0.44871,760
PCR-L,0.472736,677
PTR-R,0.538515,1009
PTR-L,0.525343,978
SS-R,0.517414,646
SS-L,0.525682,648
EC-R,0.459104,1451
EC-L,0.441598,1445
CGC-R,0.540616,287
CGC-L,0.57689,307
CGH-R,0.443912,261
CGH-L,0.414584,263
FX/ST-R,0.571475,310
FX/ST-L,0.535991,396
SLF-R,0.477599,1770
SLF-L,0.455856,1733
SFO-R,0.574352,98
SFO-L,0.482545,95
IFO-R,0.496674,48
IFO-L,0.454189,40
UNC-R,0.524529,74
UNC-L,0.445657,51
