Tract,Average,nVoxels
AverageFA,0.391536,117139
GCC,0.652872,1834
BCC,0.6463,3173
SCC,0.725551,2311
FX,0.38349,222
CST-R,0.505343,310
CST-L,0.525807,332
ML-R,0.516599,190
ML-L,0.516822,172
ICP-R,0.429652,254
ICP-L,0.46475,239
SCP-R,0.529854,238
SCP-L,0.53592,236
CP-R,0.614632,572
CP-L,0.635278,528
ALIC-R,0.506601,791
ALIC-L,0.508267,719
PLIC-R,0.663097,892
PLIC-L,0.661175,883
RLIC-R,0.546906,770
RLIC-L,0.541062,726
ACR-R,0.452669,1560
ACR-L,0.44112,1569
SCR-R,0.478166,1416
SCR-L,0.497071,1362
PCR-R,0.474268,760
PCR-L,0.495309,677
PTR-R,0.541257,1009
PTR-L,0.570327,978
SS-R,0.499018,646
SS-L,0.509291,648
EC-R,0.400211,1451
EC-L,0.393575,1445
CGC-R,0.481198,287
CGC-L,0.535069,307
CGH-R,0.398002,261
CGH-L,0.414002,263
FX/ST-R,0.4721,310
FX/ST-L,0.471993,396
SLF-R,0.472056,1770
SLF-L,0.457961,1733
SFO-R,0.447129,98
SFO-L,0.452955,95
IFO-R,0.471145,48
IFO-L,0.453584,40
UNC-R,0.559438,74
UNC-L,0.515223,51
