Tract,Average,nVoxels
ACR-L,0.446427,1569
ACR-R,0.4218,1560
ALIC-L,0.51879,719
ALIC-R,0.478747,791
AverageFA,0.383667,117130
BCC,0.545409,3173
CGC,0.476706,594
CGC-L,0.497342,307
CGC-R,0.454631,287
CR,0.454036,7344
CR-L,0.460184,3608
CR-R,0.448098,3736
CST,0.494402,642
CST-L,0.46989,332
CST-R,0.520653,310
EC,0.39185,2896
EC-L,0.389384,1445
EC-R,0.394305,1451
FX,0.292435,222
GCC,0.648775,1834
IC,0.580882,4781
IC-L,0.583589,2328
IC-R,0.578313,2453
IFO,0.466136,88
IFO-L,0.42829,40
IFO-R,0.497675,48
PCR-L,0.465148,677
PCR-R,0.463718,760
PLIC-L,0.69473,883
PLIC-R,0.706199,892
PTR,0.499916,1987
PTR-L,0.508789,978
PTR-R,0.491315,1009
RLIC-L,0.512587,726
RLIC-R,0.532447,770
SCC,0.692404,2311
SCR-L,0.473565,1362
SCR-R,0.468686,1416
SFO,0.482837,193
SFO-L,0.47969,95
SFO-R,0.485888,98
SLF,0.445171,3503
SLF-L,0.468584,1733
SLF-R,0.422247,1770
SS,0.476871,1294
SS-L,0.492464,648
SS-R,0.461229,646
UNC-L,0.509544,51
UNC-R,0.560709,74
