Tract,Average,nVoxels
ACR-L,0.473565,1569
ACR-R,0.468346,1560
ALIC-L,0.536945,719
ALIC-R,0.526338,791
AverageFA,0.403624,117139
BCC,0.581527,3173
CGC,0.549994,594
CGC-L,0.573118,307
CGC-R,0.525259,287
CR,0.470858,7344
CR-L,0.474155,3608
CR-R,0.467674,3736
CST,0.574182,642
CST-L,0.584012,332
CST-R,0.563654,310
EC,0.419439,2896
EC-L,0.416453,1445
EC-R,0.422413,1451
FX,0.3797,222
GCC,0.665225,1834
IC,0.600721,4781
IC-L,0.606441,2328
IC-R,0.595292,2453
IFO,0.45327,88
IFO-L,0.462733,40
IFO-R,0.445385,48
PCR-L,0.449151,677
PCR-R,0.450519,760
PLIC-L,0.667187,883
PLIC-R,0.679164,892
PTR,0.555176,1987
PTR-L,0.560878,978
PTR-R,0.54965,1009
RLIC-L,0.601383,726
RLIC-R,0.568967,770
SCC,0.747391,2311
SCR-L,0.487263,1362
SCR-R,0.47614,1416
SFO,0.493117,193
SFO-L,0.485802,95
SFO-R,0.500209,98
SLF,0.464024,3503
SLF-L,0.456354,1733
SLF-R,0.471533,1770
SS,0.542821,1294
SS-L,0.543449,648
SS-R,0.542191,646
UNC-L,0.508778,51
UNC-R,0.535756,74
