Tract,Average,nVoxels
ACR-L,0.489846,1569
ACR-R,0.488922,1560
ALIC-L,0.565388,719
ALIC-R,0.574051,791
AverageFA,0.418069,117137
BCC,0.651099,3173
CGC,0.535333,594
CGC-L,0.570428,307
CGC-R,0.497793,287
CR,0.488714,7344
CR-L,0.488782,3608
CR-R,0.488649,3736
CST,0.555333,642
CST-L,0.553916,332
CST-R,0.55685,310
EC,0.439918,2896
EC-L,0.440705,1445
EC-R,0.439134,1451
FX,0.38988,222
GCC,0.681121,1834
IC,0.606471,4781
IC-L,0.608059,2328
IC-R,0.604964,2453
IFO,0.501666,88
IFO-L,0.479957,40
IFO-R,0.519756,48
PCR-L,0.469449,677
PCR-R,0.487532,760
PLIC-L,0.664688,883
PLIC-R,0.657579,892
PTR,0.533761,1987
PTR-L,0.545311,978
PTR-R,0.522566,1009
RLIC-L,0.581444,726
RLIC-R,0.575769,770
SCC,0.711522,2311
SCR-L,0.497167,1362
SCR-R,0.488947,1416
SFO,0.472268,193
SFO-L,0.47508,95
SFO-R,0.469542,98
SLF,0.487238,3503
SLF-L,0.494627,1733
SLF-R,0.480003,1770
SS,0.532591,1294
SS-L,0.522429,648
SS-R,0.542784,646
UNC-L,0.460038,51
UNC-R,0.506797,74
