Tract,Average,nVoxels
ACR-L,0.427696,1569
ACR-R,0.43967,1560
ALIC-L,0.545634,719
ALIC-R,0.541536,791
AverageFA,0.392828,117137
BCC,0.621467,3173
CGC,0.524143,594
CGC-L,0.541986,307
CGC-R,0.505057,287
CR,0.452609,7344
CR-L,0.448839,3608
CR-R,0.45625,3736
CST,0.538922,642
CST-L,0.546269,332
CST-R,0.531053,310
EC,0.395431,2896
EC-L,0.388358,1445
EC-R,0.402474,1451
FX,0.348981,222
GCC,0.641448,1834
IC,0.588767,4781
IC-L,0.594208,2328
IC-R,0.583603,2453
IFO,0.417986,88
IFO-L,0.382982,40
IFO-R,0.447156,48
PCR-L,0.422302,677
PCR-R,0.455206,760
PLIC-L,0.68552,883
PLIC-R,0.683104,892
PTR,0.53521,1987
PTR-L,0.535426,978
PTR-R,0.535,1009
RLIC-L,0.531255,726
RLIC-R,0.51155,770
SCC,0.70101,2311
SCR-L,0.486386,1362
SCR-R,0.475076,1416
SFO,0.450861,193
SFO-L,0.436393,95
SFO-R,0.464886,98
SLF,0.437956,3503
SLF-L,0.441509,1733
SLF-R,0.434478,1770
SS,0.497663,1294
SS-L,0.503383,648
SS-R,0.491925,646
UNC-L,0.457225,51
UNC-R,0.532255,74
