Tract,Average,nVoxels
ACR-L,0.493163,1569
ACR-R,0.477676,1560
ALIC-L,0.555383,719
ALIC-R,0.590295,791
AverageFA,0.391515,117136
BCC,0.588441,3173
CGC,0.491531,594
CGC-L,0.502888,307
CGC-R,0.479383,287
CR,0.459103,7344
CR-L,0.461627,3608
CR-R,0.456665,3736
CST,0.543173,642
CST-L,0.548899,332
CST-R,0.537041,310
EC,0.429559,2896
EC-L,0.444776,1445
EC-R,0.414405,1451
FX,0.451054,222
GCC,0.643683,1834
IC,0.577869,4781
IC-L,0.561762,2328
IC-R,0.593155,2453
IFO,0.453309,88
IFO-L,0.474477,40
IFO-R,0.435669,48
PCR-L,0.435116,677
PCR-R,0.458072,760
PLIC-L,0.604711,883
PLIC-R,0.633195,892
PTR,0.522077,1987
PTR-L,0.518302,978
PTR-R,0.525736,1009
RLIC-L,0.515844,726
RLIC-R,0.549709,770
SCC,0.68532,2311
SCR-L,0.438476,1362
SCR-R,0.432761,1416
SFO,0.441738,193
SFO-L,0.44856,95
SFO-R,0.435125,98
SLF,0.453894,3503
SLF-L,0.458622,1733
SLF-R,0.449264,1770
SS,0.488802,1294
SS-L,0.504847,648
SS-R,0.472708,646
UNC-L,0.482541,51
UNC-R,0.518986,74
