Tract,Average,nVoxels
ACR-L,0.41529,1569
ACR-R,0.453321,1560
ALIC-L,0.52865,719
ALIC-R,0.549435,791
AverageFA,0.373063,117138
BCC,0.574017,3173
CGC,0.48396,594
CGC-L,0.517963,307
CGC-R,0.447588,287
CR,0.447973,7344
CR-L,0.427812,3608
CR-R,0.467443,3736
CST,0.51745,642
CST-L,0.515385,332
CST-R,0.519661,310
EC,0.381941,2896
EC-L,0.371117,1445
EC-R,0.39272,1451
FX,0.285243,222
GCC,0.602975,1834
IC,0.57153,4781
IC-L,0.569928,2328
IC-R,0.573051,2453
IFO,0.435412,88
IFO-L,0.424233,40
IFO-R,0.444727,48
PCR-L,0.433627,677
PCR-R,0.487507,760
PLIC-L,0.644998,883
PLIC-R,0.64886,892
PTR,0.470125,1987
PTR-L,0.458518,978
PTR-R,0.481375,1009
RLIC-L,0.519504,726
RLIC-R,0.50949,770
SCC,0.676188,2311
SCR-L,0.439348,1362
SCR-R,0.472233,1416
SFO,0.452347,193
SFO-L,0.419469,95
SFO-R,0.484219,98
SLF,0.431003,3503
SLF-L,0.413938,1733
SLF-R,0.447711,1770
SS,0.44194,1294
SS-L,0.460492,648
SS-R,0.42333,646
UNC-L,0.494067,51
UNC-R,0.570794,74
