Tract,Average,nVoxels
ACR-L,0.43109,1569
ACR-R,0.429876,1560
ALIC-L,0.488576,719
ALIC-R,0.506594,791
AverageFA,0.388186,117139
BCC,0.607369,3173
CGC,0.503294,594
CGC-L,0.502252,307
CGC-R,0.504409,287
CR,0.453379,7344
CR-L,0.456026,3608
CR-R,0.450823,3736
CST,0.559199,642
CST-L,0.573772,332
CST-R,0.543591,310
EC,0.385981,2896
EC-L,0.379985,1445
EC-R,0.391952,1451
FX,0.38632,222
GCC,0.624083,1834
IC,0.559837,4781
IC-L,0.556007,2328
IC-R,0.563473,2453
IFO,0.480864,88
IFO-L,0.461887,40
IFO-R,0.496679,48
PCR-L,0.46189,677
PCR-R,0.473481,760
PLIC-L,0.620454,883
PLIC-R,0.643858,892
PTR,0.545757,1987
PTR-L,0.537666,978
PTR-R,0.5536,1009
RLIC-L,0.544404,726
RLIC-R,0.528781,770
SCC,0.698089,2311
SCR-L,0.481836,1362
SCR-R,0.461738,1416
SFO,0.462129,193
SFO-L,0.420131,95
SFO-R,0.502842,98
SLF,0.444575,3503
SLF-L,0.443366,1733
SLF-R,0.445759,1770
SS,0.468134,1294
SS-L,0.471455,648
SS-R,0.464803,646
UNC-L,0.496831,51
UNC-R,0.53924,74
