Tract,Average,nVoxels
ACR-L,0.416178,1569
ACR-R,0.411327,1560
ALIC-L,0.527461,719
ALIC-R,0.546772,791
AverageFA,0.387108,117139
BCC,0.564149,3173
CGC,0.513874,594
CGC-L,0.53503,307
CGC-R,0.491243,287
CR,0.431805,7344
CR-L,0.435858,3608
CR-R,0.427891,3736
CST,0.69074,642
CST-L,0.702094,332
CST-R,0.678581,310
EC,0.387122,2896
EC-L,0.388676,1445
EC-R,0.385575,1451
FX,0.341334,222
GCC,0.615206,1834
IC,0.589974,4781
IC-L,0.59415,2328
IC-R,0.586011,2453
IFO,0.456871,88
IFO-L,0.425537,40
IFO-R,0.482982,48
PCR-L,0.430737,677
PCR-R,0.432452,760
PLIC-L,0.680604,883
PLIC-R,0.680286,892
PTR,0.472462,1987
PTR-L,0.455798,978
PTR-R,0.488615,1009
RLIC-L,0.555047,726
RLIC-R,0.517107,770
SCC,0.713867,2311
SCR-L,0.461074,1362
SCR-R,0.443691,1416
SFO,0.43096,193
SFO-L,0.421629,95
SFO-R,0.440005,98
SLF,0.452356,3503
SLF-L,0.467905,1733
SLF-R,0.437131,1770
SS,0.497058,1294
SS-L,0.512142,648
SS-R,0.481927,646
UNC-L,0.473824,51
UNC-R,0.477025,74
