Tract,Average,nVoxels
ACR-L,0.448734,1569
ACR-R,0.44261,1560
ALIC-L,0.556309,719
ALIC-R,0.562384,791
AverageFA,0.402625,117135
BCC,0.582449,3173
CGC,0.503382,594
CGC-L,0.528147,307
CGC-R,0.476891,287
CR,0.45941,7344
CR-L,0.468292,3608
CR-R,0.450832,3736
CST,0.561864,642
CST-L,0.56372,332
CST-R,0.559876,310
EC,0.397738,2896
EC-L,0.403545,1445
EC-R,0.391955,1451
FX,0.368507,222
GCC,0.651764,1834
IC,0.6116,4781
IC-L,0.615506,2328
IC-R,0.607893,2453
IFO,0.431921,88
IFO-L,0.42285,40
IFO-R,0.439481,48
PCR-L,0.461479,677
PCR-R,0.455366,760
PLIC-L,0.692774,883
PLIC-R,0.696868,892
PTR,0.549476,1987
PTR-L,0.548009,978
PTR-R,0.550898,1009
RLIC-L,0.580155,726
RLIC-R,0.551571,770
SCC,0.705807,2311
SCR-L,0.494208,1362
SCR-R,0.457456,1416
SFO,0.49024,193
SFO-L,0.505914,95
SFO-R,0.475045,98
SLF,0.473168,3503
SLF-L,0.48946,1733
SLF-R,0.457216,1770
SS,0.513861,1294
SS-L,0.507053,648
SS-R,0.52069,646
UNC-L,0.439705,51
UNC-R,0.491286,74
