Tract,Average,nVoxels
ACR-L,0.406405,1569
ACR-R,0.395443,1560
ALIC-L,0.502741,719
ALIC-R,0.50118,791
AverageFA,0.379572,117139
BCC,0.600193,3173
CGC,0.491193,594
CGC-L,0.489728,307
CGC-R,0.49276,287
CR,0.429176,7344
CR-L,0.434888,3608
CR-R,0.42366,3736
CST,0.489141,642
CST-L,0.49895,332
CST-R,0.478635,310
EC,0.402969,2896
EC-L,0.401272,1445
EC-R,0.404658,1451
FX,0.412879,222
GCC,0.613196,1834
IC,0.566344,4781
IC-L,0.572216,2328
IC-R,0.560772,2453
IFO,0.483369,88
IFO-L,0.477119,40
IFO-R,0.488578,48
PCR-L,0.455184,677
PCR-R,0.450959,760
PLIC-L,0.641527,883
PLIC-R,0.62383,892
PTR,0.536702,1987
PTR-L,0.534104,978
PTR-R,0.539221,1009
RLIC-L,0.556721,726
RLIC-R,0.548941,770
SCC,0.691813,2311
SCR-L,0.457612,1362
SCR-R,0.440095,1416
SFO,0.467385,193
SFO-L,0.449875,95
SFO-R,0.484358,98
SLF,0.459184,3503
SLF-L,0.460011,1733
SLF-R,0.458374,1770
SS,0.48908,1294
SS-L,0.476144,648
SS-R,0.502057,646
UNC-L,0.500356,51
UNC-R,0.470632,74
