Tract,Average,nVoxels
ACR-L,0.424272,1569
ACR-R,0.441227,1560
ALIC-L,0.505967,719
ALIC-R,0.533088,791
AverageFA,0.374967,117136
BCC,0.55853,3173
CGC,0.472127,594
CGC-L,0.493504,307
CGC-R,0.449261,287
CR,0.430312,7344
CR-L,0.421472,3608
CR-R,0.43885,3736
CST,0.56055,642
CST-L,0.579741,332
CST-R,0.539997,310
EC,0.397784,2896
EC-L,0.389642,1445
EC-R,0.405892,1451
FX,0.310179,222
GCC,0.63893,1834
IC,0.559777,4781
IC-L,0.556968,2328
IC-R,0.562443,2453
IFO,0.491055,88
IFO-L,0.479188,40
IFO-R,0.500944,48
PCR-L,0.402815,677
PCR-R,0.427077,760
PLIC-L,0.636022,883
PLIC-R,0.628874,892
PTR,0.507684,1987
PTR-L,0.510817,978
PTR-R,0.504647,1009
RLIC-L,0.511329,726
RLIC-R,0.515643,770
SCC,0.648168,2311
SCR-L,0.427519,1362
SCR-R,0.442549,1416
SFO,0.399701,193
SFO-L,0.384879,95
SFO-R,0.41407,98
SLF,0.464077,3503
SLF-L,0.456374,1733
SLF-R,0.471619,1770
SS,0.465001,1294
SS-L,0.469064,648
SS-R,0.460926,646
UNC-L,0.449418,51
UNC-R,0.497881,74
