Tract,Average,nVoxels
ACR-L,0.395361,1569
ACR-R,0.389546,1560
ALIC-L,0.476256,719
ALIC-R,0.488349,791
AverageFA,0.370835,117139
BCC,0.582168,3173
CGC,0.492307,594
CGC-L,0.507441,307
CGC-R,0.476118,287
CR,0.421433,7344
CR-L,0.420277,3608
CR-R,0.42255,3736
CST,0.523906,642
CST-L,0.545673,332
CST-R,0.500595,310
EC,0.381041,2896
EC-L,0.363941,1445
EC-R,0.39807,1451
FX,0.353746,222
GCC,0.579865,1834
IC,0.55148,4781
IC-L,0.555658,2328
IC-R,0.547515,2453
IFO,0.433657,88
IFO-L,0.404835,40
IFO-R,0.457676,48
PCR-L,0.436966,677
PCR-R,0.450573,760
PLIC-L,0.643198,883
PLIC-R,0.626551,892
PTR,0.504211,1987
PTR-L,0.513566,978
PTR-R,0.495143,1009
RLIC-L,0.527823,726
RLIC-R,0.516737,770
SCC,0.687012,2311
SCR-L,0.440685,1362
SCR-R,0.443869,1416
SFO,0.441147,193
SFO-L,0.429572,95
SFO-R,0.452368,98
SLF,0.406911,3503
SLF-L,0.411671,1733
SLF-R,0.40225,1770
SS,0.467756,1294
SS-L,0.468754,648
SS-R,0.466755,646
UNC-L,0.405425,51
UNC-R,0.403038,74
