Tract,Average,nVoxels
ACR-L,0.450716,1569
ACR-R,0.424771,1560
ALIC-L,0.537865,719
ALIC-R,0.52993,791
AverageFA,0.407297,117136
BCC,0.591127,3173
CGC,0.546889,594
CGC-L,0.548253,307
CGC-R,0.545429,287
CR,0.466738,7344
CR-L,0.475253,3608
CR-R,0.458516,3736
CST,0.638316,642
CST-L,0.643834,332
CST-R,0.632407,310
EC,0.42303,2896
EC-L,0.429384,1445
EC-R,0.416703,1451
FX,0.484268,222
GCC,0.642901,1834
IC,0.580945,4781
IC-L,0.585549,2328
IC-R,0.576576,2453
IFO,0.471271,88
IFO-L,0.447577,40
IFO-R,0.491016,48
PCR-L,0.460788,677
PCR-R,0.458069,760
PLIC-L,0.646349,883
PLIC-R,0.650857,892
PTR,0.54795,1987
PTR-L,0.561526,978
PTR-R,0.534792,1009
RLIC-L,0.558825,726
RLIC-R,0.538443,770
SCC,0.720227,2311
SCR-L,0.510709,1362
SCR-R,0.495932,1416
SFO,0.451293,193
SFO-L,0.453632,95
SFO-R,0.449025,98
SLF,0.480016,3503
SLF-L,0.478001,1733
SLF-R,0.481988,1770
SS,0.529821,1294
SS-L,0.530255,648
SS-R,0.529385,646
UNC-L,0.462416,51
UNC-R,0.544208,74
