Tract,Average,nVoxels
ACR-L,0.478747,1569
ACR-R,0.45929,1560
ALIC-L,0.532282,719
ALIC-R,0.523941,791
AverageFA,0.398553,117125
BCC,0.628266,3173
CGC,0.511608,594
CGC-L,0.528946,307
CGC-R,0.493062,287
CR,0.457992,7344
CR-L,0.463332,3608
CR-R,0.452835,3736
CST,0.501014,642
CST-L,0.503762,332
CST-R,0.498072,310
EC,0.406809,2896
EC-L,0.404319,1445
EC-R,0.409289,1451
FX,0.349051,222
GCC,0.649074,1834
IC,0.570206,4781
IC-L,0.579471,2328
IC-R,0.561412,2453
IFO,0.419834,88
IFO-L,0.415788,40
IFO-R,0.423205,48
PCR-L,0.432367,677
PCR-R,0.43422,760
PLIC-L,0.636324,883
PLIC-R,0.624221,892
PTR,0.534661,1987
PTR-L,0.539002,978
PTR-R,0.530454,1009
RLIC-L,0.557059,726
RLIC-R,0.527145,770
SCC,0.703929,2311
SCR-L,0.460966,1362
SCR-R,0.455714,1416
SFO,0.483801,193
SFO-L,0.49455,95
SFO-R,0.473381,98
SLF,0.458541,3503
SLF-L,0.456685,1733
SLF-R,0.460359,1770
SS,0.521475,1294
SS-L,0.559936,648
SS-R,0.482894,646
UNC-L,0.388606,51
UNC-R,0.456892,74
